address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
4246 Barbuda Ln,Kissimmee,FL,34758,415000,3,2,1923,421,single_family,O6381620,https://www.redfin.com/FL/Kissimmee/4246-Barbuda-Ln-34758/home/193906878,kissimmee,34758
5772 Meads Bay Pond Rd,Kissimmee,FL,34758,415279,3,2,2055,124,single_family,O6431007,https://www.redfin.com/FL/Kissimmee/5772-Meads-Bay-Pond-Rd-34758/for-sale/199300663,kissimmee,34758
VALE Plan,Mg8ksr Orlando,FL,32824,416990,3,2.5,1758,,condo,7C44297257F0,https://www.redfin.com/FL/Mg8ksr-Orlando/Orlando/VALE/home/196563406,kissimmee,32824
8546 Bay Lilly Loop,Kissimmee,FL,34747,417900,4,3,1636,594,condo,O6424476,https://www.redfin.com/FL/Kissimmee/8546-Bay-Lilly-Loop-34747/home/46492533,kissimmee,34747
4071 Longworth Loop,Kissimmee,FL,34744,418000,3,2,1809,82,single_family,O6423960,https://www.redfin.com/FL/Kissimmee/4071-Longworth-Loop-34744/home/46494430,kissimmee,34744
832 Driving Range Ct,Reunion,FL,34747,418000,3,2.5,1704,648,condo,O6419977,https://www.redfin.com/FL/Reunion/832-Driving-Range-Ct-34747/home/173829535,kissimmee,34747
2542 Folio Way,Kissimmee,FL,34741,418900,3,2,1674,170,single_family,S5135250,https://www.redfin.com/FL/Kissimmee/2542-Folio-Way-34741/home/147928184,kissimmee,34741
2218 Newt St,Orlando,FL,32837,419000,3,2,1562,26,single_family,O6404940,https://www.redfin.com/FL/Orlando/2218-Newt-St-32837/home/46826708,kissimmee,32837
3013 Mandolin Dr,Kissimmee,FL,34744,419000,4,2,2148,82,single_family,O6411560,https://www.redfin.com/FL/Kissimmee/3013-Mandolin-Dr-34744/home/46485815,kissimmee,34744
3905 Bowfin Trl,Kissimmee,FL,34746,419000,3,2.5,2533,364,single_family,S5155075,https://www.redfin.com/FL/Kissimmee/3905-Bowfin-Trl-34746/for-sale/46505883,kissimmee,34746
1501 Angler Ave,Kissimmee,FL,34746,419000,3,2,2670,38,single_family,O6426341,https://www.redfin.com/FL/Kissimmee/1501-Angler-Ave-34746/for-sale/103844572,kissimmee,34746
2530 Maneshaw Ln,Kissimmee,FL,34747,419000,3,3,1440,518,condo,O6421480,https://www.redfin.com/FL/Kissimmee/2530-Maneshaw-Ln-34747/home/46485635,kissimmee,34747
792 Driving Range Ct,Reunion,FL,34747,419000,3,2.5,1659,678,condo,O6418913,https://www.redfin.com/FL/Reunion/792-Driving-Range-Ct-34747/home/173829523,kissimmee,34747
1203 Sandestin Way,Orlando,FL,32824,419900,4,2.5,1837,260,single_family,S5154177,https://www.redfin.com/FL/Orlando/1203-Sandestin-Way-32824/for-sale/46955007,kissimmee,32824
126 Madiera Beach Blvd,Kissimmee,FL,34746,419900,4,3,1940,466,single_family,O6422779,https://www.redfin.com/FL/Kissimmee/126-Madiera-Beach-Blvd-34746/home/46478455,kissimmee,34746
2260 Tradewinds Dr,Kissimmee,FL,34746,419900,4,2.5,2944,10,single_family,O6416638,https://www.redfin.com/FL/Kissimmee/2260-Tradewinds-Dr-34746/home/46499958,kissimmee,34746
1576 Diamond Loop Dr,Kindred,FL,34744,419990,4,2,1846,11,single_family,S5154840,https://www.redfin.com/FL/Kindred/1576-Diamond-Loop-Dr-34744/for-sale/147929629,kissimmee,34744
1834 Howard Mesa Dr,Kindred,FL,34744,419990,4,2,1665,10,single_family,O6416060,https://www.redfin.com/FL/Kindred/1834-Howard-Mesa-Dr-34744/home/188668347,kissimmee,34744
155 Barefoot Beach Way,Kissimmee,FL,34746,419999,4,2,1940,466,single_family,O6415529,https://www.redfin.com/FL/Kissimmee/155-Barefoot-Beach-Way-34746/home/46479530,kissimmee,34746
7740 Sandy Ridge Dr #149,Reunion,FL,34747,419999,3,3,1500,814,townhouse,O6421752,https://www.redfin.com/FL/Reunion/7740-Sandy-Ridge-Dr-34747/unit-149/home/193904618,kissimmee,34747
1549 Astoria Arbor Ln,Orlando,FL,32824,420000,3,2.5,1838,111,single_family,C7529157,https://www.redfin.com/FL/Orlando/1549-Astoria-Arbor-Ln-32824/for-sale/168052238,kissimmee,32824
1671 Islebrook Dr,Orlando,FL,32824,420000,3,2,1782,48,single_family,TB8508531,https://www.redfin.com/FL/Orlando/1671-Islebrook-Dr-32824/for-sale/46953075,kissimmee,32824
3342 Crystal Creek Blvd,Orlando,FL,32837,420000,4,2,1771,,single_family,O6420302,https://www.redfin.com/FL/Orlando/3342-Crystal-Creek-Blvd-32837/home/46821898,kissimmee,32837
2930 White Cedar Cir,Kissimmee,FL,34741,420000,3,2,1782,80,single_family,O6423520,https://www.redfin.com/FL/Kissimmee/2930-White-Cedar-Cir-34741/home/46579463,kissimmee,34741
2120 Marisol Loop,Kissimmee,FL,34743,420000,4,2.5,2240,18,single_family,O6406110,https://www.redfin.com/FL/Kissimmee/2120-Marisol-Loop-34743/home/46577356,kissimmee,34743
1730 Neptune Rd,Kissimmee,FL,34744,420000,4,3,2658,,single_family,O6427112,https://www.redfin.com/FL/Kissimmee/1730-Neptune-Rd-34744/for-sale/46556165,kissimmee,34744
1420 Myrna Ln,Kissimmee,FL,34744,420000,4,3,1632,,single_family,S5145932,https://www.redfin.com/FL/Kissimmee/1420-Myrna-Ln-34744/home/46534380,kissimmee,34744
