address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
Orchid Blvd,Lake Wales,FL,33898,40000,,,,,8,A4682423,https://www.redfin.com/FL/Lake-Wales/Orchid-Blvd-33898/home/163174543,poinciana,33898
Sarasota Dr,Indian Lake Estates,FL,33855,40000,,,,,8,O6312967,https://www.redfin.com/FL/Indian-Lake-Estates/Sarasota-Dr-33855/home/46121036,poinciana,33898
Mediterranean Ct,Poinciana,FL,34759,40000,,,,25,8,O6423951,https://www.redfin.com/FL/Poinciana/Unknown-34759/home/46255385,poinciana,34759
Sarasota Dr,Indian Lake Estates,FL,33855,40800,,,,,8,O6312970,https://www.redfin.com/FL/Indian-Lake-Estates/Sarasota-Dr-33855/home/46077902,poinciana,33898
Tiger Rd,Lake Wales,FL,33898,42000,,,,,8,O6393969,https://www.redfin.com/FL/Lake-Wales/Unknown-33898/home/162614325,poinciana,33898
330 Bream Cir,Poinciana,FL,34759,42000,,,,35,8,O6425433,https://www.redfin.com/FL/Poinciana/330-Bream-Cir-34759/home/46260286,poinciana,34759
Timberlane Rd,Lake Wales,FL,33898,43000,,,,,8,L4959905,https://www.redfin.com/FL/Lake-Wales/Timberlane-Rd-33898/home/162611880,poinciana,33898
1210 Alafia Way,Poinciana,FL,34759,44999,,,,35,8,O6431915,https://www.redfin.com/FL/Poinciana/1210-Alafia-Way-34759/home/46256497,poinciana,34759
0 Poinsettia Dr,Lake Wales,FL,33898,45000,,,,,8,A4694208,https://www.redfin.com/FL/Lake-Wales/Poinsettia-Dr-33898/home/46141013,poinciana,33898
Magnolia Cir,Lake Wales,FL,33898,45000,,,,25,8,O6417735,https://www.redfin.com/FL/Lake-Wales/Magnoila-Cir-33898/home/46240478,poinciana,33898
BLK 63 LOTS 11&12 EL Dorado Dr,Indian Lake Estates,FL,33855,45000,,,,66,8,TB8511300,https://www.redfin.com/FL/Indian-Lake-Estates/BLK-63-LOTS-11-12-EL-Dorado-DR-33855/home/202013873,poinciana,33898
1619 Pickerel Ct,Poinciana,FL,34759,45000,,,,35,8,R4911629,https://www.redfin.com/FL/Poinciana/1619-Pickerel-Ct-34759/home/46101123,poinciana,34759
"531 St Johns Ct, Kissimmee, Fl 34759",Poinciana,FL,34759,45000,,,,,8,A12049700,https://www.redfin.com/FL/Poinciana/531-St-Johns-Ct-34759/home/46254259,poinciana,34759
